Ux,Uy
0.999908,0.000054
0.999974,-0.000925
0.999983,-0.001018
0.999978,-0.001877
0.999877,-0.002201
0.999959,-0.002445
0.999944,-0.002988
0.999857,-0.003074
0.999970,-0.003198
1.000020,-0.003015
1.000110,-0.003059
1.000120,-0.003107
1.000100,-0.003190
1.000210,-0.003238
1.000250,-0.003515
1.000400,-0.003444
1.000390,-0.003837
0.999246,-0.003678
0.997947,-0.003585
0.993771,-0.003558
0.989600,-0.003177
0.986655,-0.003011
0.987554,-0.002815
0.990476,-0.002448
0.993512,-0.002208
0.995493,-0.001999
0.996568,-0.001638
0.997586,-0.001516
0.998444,-0.001258
1.000550,-0.000884
1.000540,-0.001923
1.000580,-0.002951
1.000900,-0.004010
1.000730,-0.005295
1.000780,-0.006371
1.000730,-0.007176
1.000740,-0.008041
1.000080,-0.008982
1.000070,-0.009730
1.000040,-0.009765
0.999955,-0.010084
0.999874,-0.009805
0.999860,-0.009775
0.999670,-0.008931
0.999619,-0.008648
0.999627,-0.007341
0.999490,-0.007100
1.000560,-0.006250
1.003590,-0.006033
1.007840,-0.005745
1.009990,-0.005443
1.009020,-0.005222
1.006070,-0.004996
1.002150,-0.004817
1.000070,-0.004663
0.999007,-0.004589
0.998178,-0.004468
0.997985,-0.004352
1.001380,-0.001009
1.001250,-0.002953
1.001480,-0.004789
1.001440,-0.006791
1.001630,-0.008320
1.001730,-0.010360
1.001880,-0.012037
1.001840,-0.013586
1.001710,-0.014802
1.000760,-0.016022
1.000630,-0.016980
1.000470,-0.017225
0.999612,-0.017986
0.999606,-0.018313
0.998695,-0.017799
0.997751,-0.018168
0.997620,-0.017670
0.996853,-0.017663
0.995037,-0.017012
0.991991,-0.016351
0.986942,-0.015348
0.983823,-0.014837
0.984690,-0.014361
0.986793,-0.014018
0.989691,-0.013155
0.991688,-0.012833
0.992740,-0.011919
0.992896,-0.011708
0.993687,-0.010982
1.002690,-0.001047
1.002670,-0.003824
1.002790,-0.005933
1.003100,-0.008899
1.003350,-0.010991
1.003770,-0.014129
1.003720,-0.016100
1.003460,-0.019142
1.003190,-0.020923
1.002340,-0.022826
1.001450,-0.024076
1.001490,-0.024825
1.000760,-0.025669
0.999008,-0.025798
0.998211,-0.025605
0.997127,-0.024890
0.996917,-0.023978
0.995816,-0.023006
0.995671,-0.021812
0.997559,-0.020998
1.001600,-0.020612
1.004660,-0.019558
1.003930,-0.019094
0.999921,-0.017939
0.996075,-0.017477
0.994034,-0.017173
0.992016,-0.016571
0.990892,-0.016460
0.990717,-0.015962
1.003710,-0.000944
1.003690,-0.004886
1.004440,-0.007025
1.004540,-0.011131
1.005190,-0.013770
1.005360,-0.017097
1.006240,-0.020169
1.006310,-0.023201
1.005360,-0.026013
1.004220,-0.028721
1.003400,-0.030876
1.002630,-0.032690
1.001500,-0.033300
0.999528,-0.033752
0.997506,-0.034422
0.996515,-0.034647
0.994834,-0.034515
0.992815,-0.034231
0.990766,-0.033665
0.987779,-0.032918
0.981655,-0.031560
0.977333,-0.030568
0.975306,-0.029919
0.978312,-0.029110
0.981344,-0.028547
0.982537,-0.027491
0.983540,-0.026776
0.984515,-0.025601
0.984630,-0.024837
1.005260,-0.001916
1.005530,-0.004975
1.006340,-0.008862
1.006780,-0.012115
1.007450,-0.016041
1.008250,-0.019982
1.008480,-0.024109
1.008760,-0.027889
