Ux,Uy,CellID
0.999917,4.46476e-05,0
0.999969,-0.000943094,1
0.99998,-0.00108405,2
0.999962,-0.00192008,3
0.999884,-0.00223924,4
0.999956,-0.00251993,5
0.999938,-0.0030454,6
0.999865,-0.00314442,7
0.999999,-0.00327025,8
1.00003,-0.00308108,9
1.00011,-0.00316259,10
1.00012,-0.00318986,11
1.00009,-0.00328119,12
1.00019,-0.00329516,13
1.00022,-0.00354919,14
1.00035,-0.00349339,15
1.00031,-0.00389248,16
0.999257,-0.00374493,17
0.997928,-0.00367004,18
0.993839,-0.00357232,19
0.989666,-0.00321599,20
0.986821,-0.0030332,21
0.987705,-0.002811,22
0.990586,-0.00248937,23
0.993605,-0.00223534,24
0.995576,-0.00200667,25
0.996697,-0.00168483,26
0.99768,-0.00153016,27
0.99842,-0.00130628,28
1.00056,-0.000845445,29
1.00057,-0.00197503,30
1.0006,-0.0030049,31
1.00093,-0.00410202,32
1.00073,-0.00541483,33
1.00081,-0.00646856,34
1.00073,-0.00729586,35
1.0007,-0.00814696,36
1.00005,-0.00907323,37
1.00008,-0.00976343,38
1.00003,-0.00975682,39
0.999943,-0.010068,40
0.999866,-0.00973202,41
0.999829,-0.00968254,42
0.999666,-0.00887142,43
0.999658,-0.00851954,44
0.99965,-0.00725526,45
0.999453,-0.00693119,46
1.00056,-0.00609412,47
1.0035,-0.0058765,48
1.00778,-0.00562131,49
1.0099,-0.00529982,50
1.00892,-0.00507035,51
1.006,-0.00482973,52
1.00217,-0.00465801,53
1.00005,-0.00447438,54
0.998953,-0.00440715,55
0.99821,-0.0042822,56
0.997905,-0.0041727,57
1.0014,-0.00104493,58
1.00128,-0.00300006,59
1.00152,-0.00487614,60
1.00148,-0.00684036,61
1.00166,-0.00841702,62
1.00173,-0.0104058,63
1.00187,-0.0121205,64
1.00184,-0.0135937,65
1.00163,-0.0148221,66
1.0007,-0.0160212,67
1.00058,-0.016921,68
1.00036,-0.0171923,69
0.999481,-0.01784,70
0.999553,-0.0181253,71
0.998605,-0.0175916,72
0.997707,-0.0179442,73
0.997527,-0.0173693,74
0.996764,-0.0173607,75
0.994992,-0.0166996,76
0.991944,-0.0160637,77
0.986883,-0.0150458,78
0.983705,-0.0145072,79
0.984491,-0.0139823,80
0.986701,-0.0136412,81
0.989545,-0.0128093,82
0.991515,-0.0124104,83
0.99261,-0.0116138,84
0.992915,-0.0112908,85
0.99356,-0.0106709,86
1.00274,-0.00112094,87
1.00272,-0.00383501,88
1.00282,-0.00605984,89
1.00314,-0.00894572,90
1.00337,-0.0110611,91
1.00378,-0.0142132,92
1.00367,-0.0162055,93
1.00338,-0.0192278,94
1.00316,-0.0209664,95
1.00227,-0.022848,96
1.00137,-0.0240588,97
1.00136,-0.0247114,98
1.00055,-0.0256058,99
0.99888,-0.0257217,100
0.998078,-0.0254053,101
0.996915,-0.0246856,102
0.996732,-0.0237228,103
0.99568,-0.0227298,104
0.995509,-0.0214901,105
0.99738,-0.0206414,106
1.00148,-0.020208,107
1.00457,-0.0192062,108
1.004,-0.0186338,109
0.99991,-0.0175198,110
0.99608,-0.0170072,111
0.993966,-0.0166838,112
0.991995,-0.0161063,113
0.990822,-0.0159593,114
0.990533,-0.0155153,115
1.00378,-0.00090665,116
1.00373,-0.00496116,117
1.00447,-0.00703969,118
1.00459,-0.011242,119
1.00522,-0.0138244,120
1.00538,-0.0172248,121
1.00623,-0.0202074,122
1.00624,-0.0233329,123
1.00523,-0.0261424,124
1.00407,-0.0287767,125
1.00318,-0.0308893,126
1.00249,-0.032614,127
1.00136,-0.0332032,128
0.999283,-0.0336382,129
0.99725,-0.0342553,130
0.996296,-0.0344338,131
