Ux,Uy,p,CellID
1.0237,0.0291904,0.069248,0
0.98865,0.0119111,0.0683649,1
0.882053,0.0263543,0.0814412,2
1.01733,0.0174553,0.0777948,3
1.04391,0.0810564,0.0605595,4
1.03984,0.0923094,0.0646738,5
1.11544,-0.021665,0.0940009,6
1.00802,-0.0299846,0.101999,7
0.942805,-0.0113893,0.114965,8
1.09323,0.0458367,0.114921,9
0.962346,0.113072,0.110341,10
0.949658,0.0827284,0.12012,11
0.846584,0.0422809,0.137567,12
0.975445,-0.00907135,0.139882,13
1.08678,0.027849,0.143611,14
1.15997,0.0135829,0.145603,15
1.00024,0.0449056,0.148086,16
0.894993,0.033566,0.151247,17
0.950631,0.0408183,0.153117,18
1.03717,0.0387462,0.154322,19
1.00933,0.0376451,0.155677,20
1.0071,0.0308485,0.157161,21
1.00726,0.0253531,0.158281,22
1.00491,0.0203058,0.15925,23
1.00062,0.0158028,0.160185,24
0.994971,0.0124116,0.160793,25
0.990042,0.00878533,0.161482,26
0.986137,0.00540021,0.162031,27
0.983102,0.00206307,0.162488,28
0.944729,0.0224521,0.0671372,29
1.01476,-0.00146282,0.0524513,30
1.11016,-0.0294277,0.0700457,31
0.968029,-0.118905,0.0791021,32
0.874677,-0.318749,0.0543279,33
1.06113,-0.158295,0.0631381,34
0.999508,-0.174514,0.104583,35
0.983995,0.00309771,0.105701,36
0.960302,-0.1726,0.102594,37
0.714011,-0.0244979,0.117251,38
0.985633,-0.0844148,0.105817,39
1.17634,-0.0144135,0.131924,40
1.31973,-0.0382296,0.106069,41
1.02302,-0.0388419,0.125386,42
0.832006,0.0111186,0.118142,43
0.783518,0.0429395,0.126481,44
0.949504,0.0428995,0.127934,45
1.1078,0.0182133,0.134527,46
1.01762,0.0193875,0.133629,47
0.971008,0.0134256,0.13805,48
1.0308,0.00942212,0.139687,49
1.04404,0.00260295,0.1426,50
1.04665,0.00902984,0.143991,51
1.04254,0.00880999,0.146016,52
1.04365,0.0152969,0.14716,53
1.0522,0.017304,0.148599,54
1.06483,0.020128,0.149756,55
1.0777,0.0217267,0.150757,56
1.08829,0.0231524,0.15161,57
1.00356,0.234344,0.0598735,58
1.05422,-0.0809036,0.0421807,59
0.958981,-0.100032,0.0563727,60
1.18778,0.0472713,0.0487694,61
1.0717,-0.0625111,0.0458371,62
0.944348,-0.216273,0.0472599,63
0.922292,0.0471502,0.0780833,64
1.01618,0.0935606,0.0924315,65
0.985661,0.0881988,0.0963124,66
0.952685,-0.0155529,0.112116,67
1.00406,-0.244876,0.0958078,68
0.828001,-0.179283,0.113006,69
0.959918,0.0423625,0.131252,70
0.893121,0.0689605,0.128583,71
0.954398,0.0062331,0.1426,72
1.09858,-0.032706,0.129299,73
1.10355,-0.0990599,0.14149,74
0.952379,-0.0479448,0.142904,75
0.978687,-0.00302631,0.139365,76
1.08142,-0.00348436,0.137851,77
1.09432,-0.0204014,0.146549,78
1.03141,-0.0352899,0.15336,79
1.01231,-0.043189,0.157459,80
0.988369,-0.0480322,0.160445,81
0.975305,-0.0470052,0.162233,82
0.973847,-0.0441115,0.163587,83
0.974227,-0.038894,0.164566,84
0.971948,-0.0335068,0.16537,85
0.966753,-0.0282196,0.166059,86
0.857399,-0.279732,0.0568949,87
1.19889,0.301302,0.0113209,88
1.00777,-0.155262,0.0647846,89
0.969394,0.00967778,0.0613163,90
1.09904,0.255738,0.0583703,91
0.964913,0.0761736,0.0633817,92
0.733616,0.137289,0.0791326,93
0.990757,-0.0107713,0.0932104,94
1.06225,0.0633963,0.0883188,95
1.13325,-0.0515083,0.124868,96
1.18277,-0.107768,0.0800884,97
0.736172,0.00292361,0.103893,98
0.915295,-0.14838,0.133407,99
1.13887,-0.140155,0.12304,100
0.990282,-0.317689,0.113464,101
1.01962,-0.292907,0.105282,102
0.938883,-0.30253,0.119244,103
0.803753,-0.242353,0.124162,104
0.860877,-0.25815,0.127142,105
1.00883,-0.183618,0.136309,106
1.10107,-0.1509,0.148845,107
1.09786,-0.105543,0.153919,108
1.06912,-0.0957475,0.158127,109
1.03021,-0.0831192,0.160474,110
0.995445,-0.083536,0.16236,111
0.973954,-0.0810418,0.163849,112
0.964412,-0.0792906,0.165186,113
0.965305,-0.0768702,0.166417,114
0.972928,-0.0748252,0.167399,115
0.987548,-0.460858,0.0435662,116
1.02187,0.00327537,0.0258463,117
1.12678,0.0415635,0.0760326,118
0.881634,0.142658,0.0538312,119
1.04303,0.135466,0.0538019,120
1.02129,0.33756,0.079195,121
0.978501,-0.0693608,0.0825265,122
1.03079,-0.181733,0.0973233,123
1.04527,-0.049178,0.0966882,124
1.13508,-0.108243,0.119139,125
0.926001,0.157805,0.0845424,126
0.887131,0.167516,0.125545,127
1.13418,-0.218927,0.134455,128
1.18461,-0.00778832,0.124372,129
1.22659,-0.121363,0.103665,130
1.1141,-0.0830193,0.0743765,131
0.967827,-0.144308,0.0753326,132
0.876723,-0.123459,0.0937924,133
