Ux,Uy,CellID
0.999986,-0.000170148,0
0.999986,-0.000614142,1
0.999985,-0.000974609,2
0.999985,-0.00135335,3
0.999984,-0.00170819,4
0.999984,-0.00203815,5
0.999983,-0.00233127,6
0.999981,-0.00257755,7
0.99998,-0.00277049,8
0.99998,-0.00291159,9
0.999978,-0.0030137,10
0.999976,-0.00309571,11
0.999982,-0.00318377,12
1.0,-0.00330836,13
1.00004,-0.00348095,14
1.0001,-0.00369053,15
1.00014,-0.00390058,16
0.9999,-0.00405985,17
0.998598,-0.00412719,18
0.994921,-0.00408583,19
0.988662,-0.00400101,20
0.982659,-0.00397363,21
0.98064,-0.00397423,22
0.982943,-0.00387155,23
0.987049,-0.00363684,24
0.990856,-0.00334607,25
0.99366,-0.0030627,26
0.995518,-0.00281529,27
0.996689,-0.00261093,28
1.0005,-0.000509986,29
1.00051,-0.00182202,30
1.00056,-0.00289225,31
1.0006,-0.00403709,32
1.00063,-0.00511459,33
1.00064,-0.00613347,34
1.00061,-0.00705773,35
1.00056,-0.00785008,36
1.00047,-0.00848304,37
1.00035,-0.00893125,38
1.00024,-0.00917119,39
1.00014,-0.00918527,40
1.00008,-0.00894499,41
1.00005,-0.00841663,42
1.00003,-0.00761045,43
0.99997,-0.00656007,44
0.999871,-0.00536221,45
0.999936,-0.00418475,46
1.00095,-0.00321525,47
1.00442,-0.00264337,48
1.01092,-0.00250014,49
1.01731,-0.00258436,50
1.01887,-0.00271541,51
1.01512,-0.00290772,52
1.00955,-0.00315716,53
1.00489,-0.00336766,54
1.0018,-0.00349141,55
0.999947,-0.00353358,56
0.998901,-0.00351669,57
1.00135,-0.000821209,58
1.0014,-0.00290002,59
1.00154,-0.00462072,60
1.00167,-0.00650264,61
1.00178,-0.0082923,62
1.00183,-0.0100394,63
1.0018,-0.0116712,64
1.00167,-0.0131185,65
1.00143,-0.0143218,66
1.00107,-0.0152349,67
1.0006,-0.0158361,68
1.00004,-0.0161409,69
0.999374,-0.0162087,70
0.998619,-0.0161416,71
0.997805,-0.016062,72
0.996963,-0.016044,73
0.99612,-0.016024,74
0.995258,-0.0158888,75
0.994055,-0.0155068,76
0.991595,-0.0147292,77
0.987097,-0.0135819,78
0.982245,-0.0123712,79
0.98073,-0.0113452,80
0.9833,-0.0104284,81
0.987089,-0.00952174,82
0.989966,-0.0086788,83
0.991688,-0.00794718,84
0.992634,-0.00732892,85
0.993146,-0.00681088,86
1.00237,-0.00109507,87
1.0025,-0.00384837,88
1.00275,-0.00615739,89
1.003,-0.00872253,90
1.00325,-0.0112044,91
1.00341,-0.0136938,92
1.00342,-0.0160798,93
1.00324,-0.0182812,94
1.00285,-0.0202063,95
1.00223,-0.0217905,96
1.00142,-0.0230036,97
1.00044,-0.0238275,98
0.999404,-0.0242568,99
0.99837,-0.0242531,100
0.997399,-0.023763,101
0.996491,-0.0228118,102
0.9956,-0.0214898,103
0.994791,-0.0200069,104
0.994665,-0.0185781,105
0.996679,-0.0173161,106
1.00199,-0.0162328,107
1.00831,-0.0151592,108
1.01042,-0.014032,109
1.00682,-0.0131016,110
1.00119,-0.012524,111
0.99661,-0.0121527,112
0.993571,-0.0118465,113
0.991644,-0.0115521,114
0.990407,-0.0112557,115
1.0036,-0.0013306,116
1.00381,-0.00466225,117
1.00422,-0.00748698,118
1.00466,-0.0106617,119
1.00511,-0.0137819,120
1.00544,-0.0169842,121
1.00557,-0.020124,122
1.00542,-0.0231102,123
1.00495,-0.0258201,124
1.00415,-0.0281465,125
1.00304,-0.0300041,126
1.00171,-0.0313322,127
1.00022,-0.0321324,128
0.998615,-0.032481,129
0.996926,-0.0325402,130
0.995167,-0.0325517,131
0.993421,-0.0326481,132
0.99168,-0.0327353,133
0.989512,-0.0326284,134
0.98567,-0.0321573,135
0.979128,-0.0312329,136
0.972012,-0.0300079,137
0.969416,-0.0287561,138
0.972704,-0.0274444,139
0.977593,-0.025959,140
0.980881,-0.024483,141
0.98254,-0.023175,142
0.983279,-0.0220654,143
0.983563,-0.0211469,144
1.00498,-0.00152712,145
1.00531,-0.00533484,146
1.0059,-0.00859236,147
1.00656,-0.0122864,148
1.00727,-0.0159582,149
1.00785,-0.0198023,150
1.00818,-0.023656,151
1.00815,-0.0274141,152
1.00767,-0.0309325,153
1.0067,-0.0340708,154
1.00527,-0.0367073,155
1.00341,-0.0387782,156
1.00124,-0.040269,157
0.998878,-0.0411849,158
0.996458,-0.0414726,159
0.994118,-0.0409971,160
0.991916,-0.0396856,161
0.989867,-0.0376552,162
0.988387,-0.0352905,163
0.988873,-0.0330707,164
0.992884,-0.0313188,165
0.998615,-0.0300488,166
1.00024,-0.0289422,167
0.995345,-0.0279477,168
0.988406,-0.0272727,169
0.983391,-0.0267857,170
0.980394,-0.0263035,171
0.978573,-0.0258018,172
0.977404,-0.025284,173
1.00641,-0.00168467,174
1.00684,-0.00587062,175
1.00762,-0.0094728,176
1.00856,-0.0135844,177
1.00956,-0.0177163,178
1.01045,-0.0221154,179
1.01106,-0.0266093,180
1.01123,-0.031109,181
1.01083,-0.0354516,182
1.00979,-0.0394708,183
1.0081,-0.0430091,184
1.00585,-0.0459453,185
1.00315,-0.0481883,186
1.00017,-0.0496907,187
0.996993,-0.0505037,188
0.993661,-0.0508422,189
0.990199,-0.0510751,190
0.986711,-0.0514027,191
0.983087,-0.051642,192
0.978406,-0.0513977,193
0.971206,-0.0503613,194
0.962725,-0.048565,195
0.95849,-0.0465667,196
0.961243,-0.0446963,197
